140100000,Abra,140000000,PH
160200000,Agusan del Norte,160000000,PH
160300000,Agusan del Sur,160000000,PH
060400000,Aklan,060000000,PH
050500000,Albay,050000000,PH
060600000,Antique,060000000,PH
148100000,Apayao,140000000,PH
037700000,Aurora,030000000,PH
150700000,Basilan,150000000,PH
030800000,Bataan,030000000,PH
020900000,Batanes,020000000,PH
041000000,Batangas,040000000,PH
141100000,Benguet,140000000,PH
087800000,Biliran,080000000,PH
071200000,Bohol,070000000,PH
101300000,Bukidnon,100000000,PH
031400000,Bulacan,030000000,PH
021500000,Cagayan,020000000,PH
051600000,Camarines Norte,050000000,PH
051700000,Camarines Sur,050000000,PH
101800000,Camiguin,100000000,PH
061900000,Capiz,060000000,PH
052000000,Catanduanes,050000000,PH
042100000,Cavite,040000000,PH
072200000,Cebu,070000000,PH
118200000,Compostela Valley,110000000,PH
124700000,Cotabato,120000000,PH
112300000,Davao del Norte,110000000,PH
112400000,Davao del Sur,110000000,PH
118600000,Davao Occidental,110000000,PH
112500000,Davao Oriental,110000000,PH
168500000,Dinagat Islands,160000000,PH
082600000,Eastern Samar,080000000,PH
067900000,Guimaras,060000000,PH
142700000,Ifugao,140000000,PH
012800000,Ilocos Norte,010000000,PH
012900000,Ilocos Sur,010000000,PH
063000000,Iloilo,060000000,PH
023100000,Isabela,020000000,PH
143200000,Kalinga,140000000,PH
013300000,La Union,010000000,PH
043400000,Laguna,040000000,PH
103500000,Lanao del Norte,100000000,PH
153600000,Lanao del Sur,150000000,PH
083700000,Leyte,080000000,PH
153800000,Maguindanao,150000000,PH
174000000,Marinduque,170000000,PH
054100000,Masbate,050000000,PH
130100000,Metro Manila,130000000,PH
104300000,Misamis Occidental,100000000,PH
104200000,Misamis Oriental,100000000,PH
144400000,Mountain Province,140000000,PH
184500000,Negros Occidental,180000000,PH
184600000,Negros Oriental,180000000,PH
084800000,Northern Samar,080000000,PH
034900000,Nueva Ecija,030000000,PH
025000000,Nueva Vizcaya,020000000,PH
175100000,Occidental Mindoro,170000000,PH
175200000,Oriental Mindoro,170000000,PH
175300000,Palawan,170000000,PH
035400000,Pampanga,030000000,PH
015500000,Pangasinan,010000000,PH
045600000,Quezon,040000000,PH
025700000,Quirino,020000000,PH
045800000,Rizal,040000000,PH
175900000,Romblon,170000000,PH
086000000,Samar,080000000,PH
128000000,Sarangani,120000000,PH
076100000,Siquijor,070000000,PH
056200000,Sorsogon,050000000,PH
126300000,South Cotabato,120000000,PH
086400000,Southern Leyte,080000000,PH
126500000,Sultan Kudarat,120000000,PH
156600000,Sulu,150000000,PH
166700000,Surigao del Norte,160000000,PH
166800000,Surigao del Sur,160000000,PH
036900000,Tarlac,030000000,PH
157000000,Tawi-Tawi,150000000,PH
037100000,Zambales,030000000,PH
097200000,Zamboanga del Norte,090000000,PH
097300000,Zamboanga del Sur,090000000,PH
098300000,Zamboanga Sibugay,090000000,PH
